2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:17:01,213 - INFO - Env 01, Goal (004.1, 001.3), Episode 00001, setp 039, Reward 35.7 , Distance 008.8, Reach Goal
2019-07-24 16:17:01,652 - INFO - Env 01, Goal (-00.6, 003.5), Episode 00002, setp 003, Reward -15.0, Distance 008.6, Crashed
2019-07-24 16:17:01,938 - INFO - Env 23, Goal (003.8, -00.7), Episode 00001, setp 042, Reward 34.6 , Distance 008.5, Reach Goal
2019-07-24 16:17:02,762 - INFO - Env 12, Goal (-02.0, -03.4), Episode 00001, setp 047, Reward -2.7 , Distance 008.2, Crashed
2019-07-24 16:17:03,647 - INFO - Env 11, Goal (-03.1, -00.2), Episode 00001, setp 054, Reward 35.5 , Distance 008.7, Reach Goal
2019-07-24 16:17:04,540 - INFO - Env 13, Goal (-06.7, -06.0), Episode 00001, setp 061, Reward 38.3 , Distance 009.8, Reach Goal
2019-07-24 16:17:04,981 - INFO - Env 18, Goal (-02.4, 008.6), Episode 00001, setp 062, Reward -22.4, Distance 008.1, Crashed
2019-07-24 16:17:05,324 - INFO - Env 19, Goal (-00.2, -03.8), Episode 00001, setp 063, Reward 35.4 , Distance 008.7, Reach Goal
2019-07-24 16:17:05,832 - INFO - Env 08, Goal (001.1, 005.4), Episode 00001, setp 065, Reward 37.1 , Distance 009.4, Reach Goal
2019-07-24 16:17:06,342 - INFO - Env 22, Goal (001.5, -03.6), Episode 00001, setp 068, Reward 35.2 , Distance 008.7, Reach Goal
2019-07-24 16:17:06,761 - INFO - Env 07, Goal (000.5, 002.7), Episode 00001, setp 069, Reward 4.3  , Distance 008.6, Crashed
2019-07-24 16:17:06,761 - INFO - Env 22, Goal (006.5, -05.2), Episode 00002, setp 002, Reward -15.0, Distance 009.8, Crashed
2019-07-24 16:17:07,165 - INFO - Env 16, Goal (004.8, -00.8), Episode 00001, setp 070, Reward -6.3 , Distance 008.8, Crashed
2019-07-24 16:17:08,933 - INFO - Env 10, Goal (-02.4, 007.6), Episode 00001, setp 085, Reward 36.7 , Distance 009.2, Reach Goal
2019-07-24 16:17:09,365 - INFO - Env 05, Goal (-04.7, 005.8), Episode 00001, setp 088, Reward 36.7 , Distance 009.2, Reach Goal
2019-07-24 16:17:10,649 - INFO - Env 09, Goal (-04.0, -04.1), Episode 00001, setp 099, Reward 1.3  , Distance 009.6, Crashed
2019-07-24 16:17:10,649 - INFO - Env 14, Goal (-00.9, 002.3), Episode 00001, setp 099, Reward 4.6  , Distance 009.6, Crashed
2019-07-24 16:17:11,480 - INFO - Env 04, Goal (004.7, -02.0), Episode 00001, setp 104, Reward 36.6 , Distance 009.2, Reach Goal
2019-07-24 16:17:12,160 - INFO - Env 00, Goal (-04.4, -04.6), Episode 00001, setp 109, Reward 38.1 , Distance 009.8, Reach Goal
2019-07-24 16:17:12,607 - INFO - Env 02, Goal (000.8, 002.3), Episode 00001, setp 112, Reward 33.8 , Distance 008.1, Reach Goal
2019-07-24 16:17:12,948 - INFO - Env 17, Goal (003.6, -01.3), Episode 00001, setp 113, Reward 37.1 , Distance 009.5, Reach Goal
2019-07-24 16:17:12,948 - INFO - Env 11, Goal (-02.7, -01.2), Episode 00002, setp 060, Reward -2.3 , Distance 009.1, Crashed
2019-07-24 16:17:12,948 - INFO - Env 02, Goal (003.9, 005.4), Episode 00002, setp 002, Reward -15.0, Distance 008.9, Crashed
2019-07-24 16:17:13,641 - INFO - Env 03, Goal (-02.1, 001.8), Episode 00001, setp 118, Reward 36.3 , Distance 009.1, Reach Goal
2019-07-24 16:17:15,959 - INFO - Env 21, Goal (-02.8, 004.1), Episode 00001, setp 132, Reward 38.4 , Distance 009.9, Reach Goal
2019-07-24 16:17:16,368 - INFO - Env 18, Goal (001.1, 006.8), Episode 00002, setp 072, Reward -2.0 , Distance 009.1, Crashed
2019-07-24 16:17:16,369 - INFO - Env 21, Goal (-00.9, -02.6), Episode 00002, setp 002, Reward -15.0, Distance 009.1, Crashed
2019-07-24 16:17:16,822 - INFO - Env 03, Goal (-04.6, 006.2), Episode 00002, setp 018, Reward -13.5, Distance 008.1, Crashed
2019-07-24 16:17:16,822 - INFO - Env 20, Goal (-01.4, 002.5), Episode 00001, setp 135, Reward 34.1 , Distance 008.2, Reach Goal
2019-07-24 16:17:17,531 - INFO - Env 06, Goal (000.0, -06.1), Episode 00001, setp 139, Reward -6.7 , Distance 008.0, Crashed
2019-07-24 16:17:18,456 - INFO - Env 01, Goal (-06.4, -01.1), Episode 00003, setp 106, Reward 37.3 , Distance 009.4, Reach Goal
2019-07-24 16:17:18,748 - INFO - Env 21, Goal (000.0, -03.7), Episode 00003, setp 015, Reward -15.1, Distance 009.7, Crashed
2019-07-24 16:17:19,563 - INFO - Env 15, Goal (-02.2, -03.8), Episode 00001, setp 152, Reward 21.8 , Distance 010.0, Time out
2019-07-24 16:17:20,537 - INFO - Env 16, Goal (002.1, -02.8), Episode 00002, setp 090, Reward 34.3 , Distance 008.3, Reach Goal
2019-07-24 16:17:20,832 - INFO - Env 16, Goal (-03.1, 005.7), Episode 00003, setp 002, Reward -15.0, Distance 009.7, Crashed
2019-07-24 16:17:21,240 - INFO - Env 07, Goal (-02.7, 003.8), Episode 00002, setp 093, Reward 37.3 , Distance 009.5, Reach Goal
2019-07-24 16:17:22,821 - INFO - Env 19, Goal (-00.4, -07.5), Episode 00002, setp 113, Reward 38.5 , Distance 009.9, Reach Goal
2019-07-24 16:17:23,353 - INFO - Env 10, Goal (-00.5, 002.8), Episode 00002, setp 094, Reward 36.1 , Distance 009.0, Reach Goal
2019-07-24 16:17:24,147 - INFO - Env 23, Goal (002.6, 004.2), Episode 00002, setp 143, Reward 37.6 , Distance 009.6, Reach Goal
2019-07-24 16:17:24,944 - INFO - Env 05, Goal (-08.4, -00.4), Episode 00002, setp 102, Reward -1.5 , Distance 008.8, Crashed
2019-07-24 16:17:25,250 - INFO - Env 02, Goal (007.3, 001.9), Episode 00003, setp 078, Reward 33.9 , Distance 008.2, Reach Goal
2019-07-24 16:17:25,652 - INFO - Env 13, Goal (003.3, -04.5), Episode 00002, setp 132, Reward 37.0 , Distance 009.4, Reach Goal
2019-07-24 16:17:26,367 - INFO - Env 04, Goal (007.3, -03.2), Episode 00002, setp 094, Reward 36.0 , Distance 009.0, Reach Goal
2019-07-24 16:17:26,657 - INFO - Env 12, Goal (000.0, -05.6), Episode 00002, setp 152, Reward 22.2 , Distance 009.8, Time out
2019-07-24 16:17:27,106 - INFO - Env 00, Goal (000.0, 002.3), Episode 00002, setp 092, Reward 4.7  , Distance 010.0, Crashed
2019-07-24 16:17:27,363 - INFO - Env 22, Goal (-07.9, -04.1), Episode 00003, setp 133, Reward 36.1 , Distance 009.0, Reach Goal
2019-07-24 16:17:27,363 - INFO - Env 08, Goal (001.5, 001.6), Episode 00002, setp 137, Reward 35.4 , Distance 008.7, Reach Goal
2019-07-24 16:17:27,842 - INFO - Env 14, Goal (005.3, 003.4), Episode 00002, setp 105, Reward 35.4 , Distance 008.7, Reach Goal
2019-07-24 16:17:27,842 - INFO - Env 04, Goal (-05.6, 005.1), Episode 00003, setp 007, Reward -15.1, Distance 009.2, Crashed
2019-07-24 16:17:28,249 - INFO - Env 09, Goal (-02.7, 001.7), Episode 00002, setp 107, Reward 34.2 , Distance 008.2, Reach Goal
2019-07-24 16:17:28,586 - INFO - Env 17, Goal (000.7, -08.3), Episode 00002, setp 094, Reward 38.1 , Distance 009.9, Reach Goal
2019-07-24 16:17:28,838 - INFO - Env 17, Goal (004.0, 007.1), Episode 00003, setp 002, Reward -15.0, Distance 008.0, Crashed
2019-07-24 16:17:28,838 - INFO - Env 15, Goal (003.4, 004.1), Episode 00002, setp 056, Reward -3.6 , Distance 009.5, Crashed
2019-07-24 16:17:28,838 - INFO - Env 16, Goal (-04.1, 005.4), Episode 00004, setp 048, Reward -10.2, Distance 009.1, Crashed
2019-07-24 16:17:28,839 - INFO - Env 19, Goal (004.1, 000.9), Episode 00003, setp 033, Reward -6.9 , Distance 008.9, Crashed
2019-07-24 16:17:30,973 - INFO - Env 01, Goal (006.1, 005.9), Episode 00004, setp 080, Reward 35.9 , Distance 008.9, Reach Goal
2019-07-24 16:17:31,572 - INFO - Env 11, Goal (-07.1, -02.6), Episode 00003, setp 117, Reward 38.1 , Distance 009.8, Reach Goal
2019-07-24 16:17:31,810 - INFO - Env 11, Goal (-07.6, -01.3), Episode 00004, setp 002, Reward -15.0, Distance 008.6, Crashed
2019-07-24 16:17:31,811 - INFO - Env 23, Goal (001.4, 006.7), Episode 00003, setp 047, Reward -3.7 , Distance 009.6, Crashed
2019-07-24 16:17:32,536 - INFO - Env 03, Goal (-05.7, -03.2), Episode 00003, setp 100, Reward 34.1 , Distance 008.1, Reach Goal
2019-07-24 16:17:32,989 - INFO - Env 06, Goal (002.6, -04.2), Episode 00002, setp 098, Reward 35.5 , Distance 008.8, Reach Goal
