[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.63, 7.9, 7.63, -7.63, -7.9, -7.63] [-2.04, 0.0, 2.04, 2.04, 0.0, -2.04]
[6.76, 7.0, 6.78, -6.76, -7.0, -6.78] [-1.84, -0.03, 1.77, 1.84, 0.03, -1.76]
[5.89, 6.11, 5.92, -5.89, -6.1, -5.92] [-1.63, -0.06, 1.51, 1.63, 0.05, -1.49]
[4.92, 5.11, 4.97, -4.92, -5.11, -4.97] [-1.4, -0.08, 1.22, 1.39, 0.06, -1.2]
[4.04, 4.21, 4.11, -4.14, -4.21, -4.11] [-1.2, -0.1, 0.97, 1.2, 0.05, -0.94]
[3.07, 3.21, 3.14, -3.18, -3.21, -3.15] [-0.97, -0.11, 0.72, 0.96, 0.05, -0.66]
[2.1, 2.21, 2.17, -2.21, -2.21, -2.2] [-0.74, -0.14, 0.51, 0.7, 0.04, -0.37]
[1.32, 1.45, 1.38, -1.44, -1.41, -7.26] [-0.74, -0.22, 0.39, 0.5, 0.01, -1.92]
[7.54, 0.78, 0.7, -0.85, -0.72, -6.59] [-2.02, -0.37, 0.26, 0.41, 0.12, -1.71]
[6.95, 0.49, 0.26, -0.56, -7.4, -6.02] [-1.89, -0.31, 0.24, 0.36, 0.04, -1.52]
[5.98, 0.09, 0.19, -0.56, -6.51, -5.08] [-1.67, -0.55, 0.21, 0.36, 0.11, -1.2]
[5.11, -0.79, 0.18, -0.57, -5.62, -4.23] [-1.47, -0.69, 0.21, 0.36, 0.18, -0.92]
[4.04, -1.88, 0.07, -0.79, -4.53, -3.21] [-1.22, -0.58, 0.26, -0.29, 0.3, -0.54]
[3.07, -2.07, -0.88, -0.19, -3.56, -2.43] [-0.99, -0.54, 0.38, -1.02, 0.48, -0.03]
[2.11, -2.07, -1.11, 0.78, -2.97, -1.97] [-0.74, -0.53, 0.33, -1.1, 0.71, 0.21]
[1.33, -2.07, -1.19, 1.1, -2.38, -1.97] [-0.32, -0.53, 0.49, -1.25, 0.95, 0.21]
[0.29, -1.51, -1.43, 2.03, -1.61, -1.35] [-0.06, -0.75, 0.81, -1.71, 1.21, -0.08]
[0.11, -1.2, -1.43, 2.92, -0.82, -1.04] [-0.01, -1.54, 0.81, -1.69, 1.2, -0.08]
[0.09, -1.72, -1.66, 3.81, 0.17, -1.04] [0.04, -2.24, 1.2, -1.68, 1.2, -0.08]
[-0.12, -2.49, -2.44, 4.69, 1.05, -1.04] [0.21, -2.27, 1.48, -1.68, 1.03, -0.08]
[-0.83, -3.41, -3.26, 5.66, 1.94, -0.53] [0.84, -1.92, 0.97, -1.69, 0.93, -0.55]
[-1.81, -4.36, -3.99, 6.62, 2.92, 0.42] [0.98, -1.63, 0.31, -1.73, 0.84, -0.47]
[-2.39, -4.92, -4.44, -7.15, 3.52, 0.87] [1.08, -1.45, -0.06, 1.94, 0.79, -0.26]
[-3.36, -5.84, -5.03, -6.17, 4.5, 1.77] [1.25, -1.07, -0.36, 1.73, 0.69, 0.14]
[-4.28, -6.7, -5.69, -5.28, 5.47, 2.67] [1.44, -0.58, -0.18, 1.53, 0.59, 0.55]
[-4.36, -7.42, -6.16, -5.27, 6.25, 3.37] [1.5, -0.1, -0.17, 1.52, 0.5, 0.9]
