[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.54, 7.9, 7.54, -7.54, -7.8, -7.54] [-2.03, 0.0, 2.01, 2.03, 0.01, -2.02]
[6.58, 6.95, 6.7, -6.61, -6.84, -6.61] [-2.03, -0.21, 1.55, 2.17, 0.15, -1.82]
[5.66, 6.0, 5.82, -5.7, -5.91, -5.71] [-1.93, -0.34, 1.24, 2.3, 0.22, -1.75]
[4.74, 5.05, 4.94, -4.81, -4.98, -4.84] [-1.81, -0.44, 0.98, 2.42, 0.28, -1.71]
[3.84, 4.09, 4.05, -3.94, -4.07, -3.97] [-1.72, -0.51, 0.78, 2.51, 0.33, -1.67]
[2.94, 3.14, 3.19, -3.08, -3.18, -3.12] [-1.6, -0.54, 0.53, 2.59, 0.39, -1.64]
[2.18, 2.37, 2.49, -2.4, -2.48, -2.46] [-1.58, -0.56, 0.42, 2.65, 0.43, -1.62]
[1.16, 1.32, 1.54, -1.5, -1.53, -1.56] [-1.54, -0.54, 0.29, 2.71, 0.46, -1.62]
[0.35, 0.4, 0.74, -0.71, -0.85, -1.19] [-1.54, -0.44, 0.27, 2.76, 0.55, -1.64]
[0.07, -0.47, 0.44, 0.08, -0.32, -1.18] [-1.53, -0.5, 0.3, 2.83, 0.93, -1.64]
[-0.05, -1.35, 0.2, 0.86, 0.58, -1.08] [-1.61, -0.56, 0.23, 2.89, 1.18, -1.99]
[-0.25, -2.13, -0.46, 1.52, 1.42, -0.57] [-1.76, -0.51, 0.17, 2.92, 1.15, -2.57]
[-0.71, -3.04, -1.0, 2.33, 2.26, -0.15] [-1.66, -0.7, 0.11, 2.98, 1.01, -2.75]
[-1.16, -3.81, -1.62, 3.02, 2.93, 0.31] [-1.63, -0.8, 0.02, 3.02, 0.89, -2.68]
[-1.52, -4.34, -1.98, 3.54, 3.46, 0.75] [-1.64, -0.86, -0.04, 3.02, 0.81, -2.58]
[-2.25, -5.11, -2.67, 4.25, 4.16, 1.51] [-1.65, -0.94, -0.19, 3.0, 0.7, -2.38]
[-2.79, -5.64, -3.17, 4.81, 4.7, 2.11] [-1.66, -0.95, -0.3, 2.97, 0.61, -2.23]
[-3.45, -6.29, -3.74, 5.41, 5.28, 2.75] [-1.74, -0.92, -0.41, 2.92, 0.52, -2.1]
[-4.08, -6.94, -4.35, 6.02, 5.89, 3.42] [-1.82, -0.85, -0.49, 2.85, 0.41, -1.97]
[-4.63, -7.27, -4.85, 6.46, 6.4, 4.0] [-1.78, -0.78, -0.51, 2.73, 0.31, -1.88]
